county_num,county_name
1.0, Anderson 
2.0, Andrews 
3.0, Angelina 
4.0, Aransas 
5.0, Archer 
6.0, Armstrong 
7.0, Atascosa 
8.0, Austin 
9.0, Bailey 
10.0, Bandera 
11.0, Bastrop 
12.0, Baylor 
13.0, Bee 
14.0, Bell 
15.0, Bexar 
16.0, Blanco 
17.0, Borden 
18.0, Bosque 
19.0, Bowie 
20.0, Brazoria 
21.0, Brazos 
22.0, Brewster 
23.0, Briscoe 
24.0, Brooks 
25.0, Brown 
26.0, Burleson 
27.0, Burnet 
28.0, Caldwell 
29.0, Calhoun 
30.0, Callahan 
31.0, Cameron 
32.0, Camp 
33.0, Carson 
34.0, Cass 
35.0, Castro 
36.0, Chambers 
37.0, Cherokee 
38.0, Childress 
39.0, Clay 
40.0, Cochran 
41.0, Coke 
42.0, Coleman 
43.0, Collin 
44.0, Collingsworth 
45.0, Colorado 
46.0, Comal 
47.0, Comanche 
48.0, Concho 
49.0, Cooke 
50.0, Coryell 
51.0, Cottle 
52.0, Crane 
53.0, Crockett 
54.0, Crosby 
55.0, Culberson 
56.0, Dallam 
57.0, Dallas 
58.0, Dawson 
59.0, Deaf Smith 
60.0, Delta 
61.0, Denton 
62.0, DeWitt 
63.0, Dickens 
64.0, Dimmit 
65.0, Donley 
66.0, Duval 
67.0, Eastland 
68.0, Ector 
69.0, Edwards 
70.0, Ellis 
71.0, El Paso 
72.0, Erath 
73.0, Falls 
74.0, Fannin 
75.0, Fayette 
76.0, Fisher 
77.0, Floyd 
78.0, Foard 
79.0, Fort Bend 
80.0, Franklin 
81.0, Freestone 
82.0, Frio 
83.0, Gaines 
84.0, Galveston 
85.0, Garza 
86.0, Gillespie 
87.0, Glasscock 
88.0, Goliad 
89.0, Gonzales 
90.0, Gray 
91.0, Grayson 
92.0, Gregg 
93.0, Grimes 
94.0, Guadalupe 
95.0, Hale 
96.0, Hall 
97.0, Hamilton 
98.0, Hansford 
99.0, Hardeman 
100.0, Hardin 
101.0, Harris 
102.0, Harrison 
103.0, Hartley 
104.0, Haskell 
105.0, Hays 
106.0, Hemphill 
107.0, Henderson 
108.0, Hidalgo 
109.0, Hill 
110.0, Hockley 
111.0, Hood 
112.0, Hopkins 
113.0, Houston 
114.0, Howard 
115.0, Hudspeth 
116.0, Hunt 
117.0, Hutchinson 
118.0, Irion 
119.0, Jack 
120.0, Jackson 
121.0, Jasper 
122.0, Jeff Davis 
123.0, Jefferson 
124.0, Jim Hogg 
125.0, Jim Wells 
126.0, Johnson 
127.0, Jones 
128.0, Karnes 
129.0, Kaufman 
130.0, Kendall 
131.0, Kenedy 
132.0, Kent 
133.0, Kerr 
134.0, Kimble 
135.0, King 
136.0, Kinney 
137.0, Kleberg 
138.0, Knox 
139.0, Lamar 
140.0, Lamb 
141.0, Lampasas 
142.0, La Salle 
143.0, Lavaca 
144.0, Lee 
145.0, Leon 
146.0, Liberty 
147.0, Limestone 
148.0, Lipscomb 
149.0, Live Oak 
150.0, Llano 
151.0, Loving 
152.0, Lubbock 
153.0, Lynn 
154.0, McCulloch 
155.0, McLennan 
156.0, McMullen 
157.0, Madison 
158.0, Marion 
159.0, Martin 
160.0, Mason 
161.0, Matagorda 
162.0, Maverick 
163.0, Medina 
164.0, Menard 
165.0, Midland 
166.0, Milam 
167.0, Mills 
168.0, Mitchell 
169.0, Montague 
170.0, Montgomery 
171.0, Moore 
172.0, Morris 
173.0, Motley 
174.0, Nacogdoches 
175.0, Navarro 
176.0, Newton 
177.0, Nolan 
178.0, Nueces 
179.0, Ochiltree 
180.0, Oldham 
181.0, Orange 
182.0, Palo Pinto 
183.0, Panola 
184.0, Parker 
185.0, Parmer 
186.0, Pecos 
187.0, Polk 
188.0, Potter 
189.0, Presidio 
190.0, Rains 
191.0, Randall 
192.0, Reagan 
193.0, Real 
194.0, Red River 
195.0, Reeves 
196.0, Refugio 
197.0, Roberts 
198.0, Robertson 
199.0, Rockwall 
200.0, Runnels 
201.0, Rusk 
202.0, Sabine 
203.0, San Augustine 
204.0, San Jacinto 
205.0, San Patricio 
206.0, San Saba 
207.0, Schleicher 
208.0, Scurry 
209.0, Shackelford 
210.0, Shelby 
211.0, Sherman 
212.0, Smith 
213.0, Somervell 
214.0, Starr 
215.0, Stephens 
216.0, Sterling 
217.0, Stonewall 
218.0, Sutton 
219.0, Swisher 
220.0, Tarrant 
221.0, Taylor 
222.0, Terrell 
223.0, Terry 
224.0, Throckmorton 
225.0, Titus 
226.0, Tom Green 
227.0, Travis 
228.0, Trinity 
229.0, Tyler 
230.0, Upshur 
231.0, Upton 
232.0, Uvalde 
233.0, Val Verde 
234.0, Van Zandt 
235.0, Victoria 
236.0, Walker 
237.0, Waller 
238.0, Ward 
239.0, Washington 
240.0, Webb 
241.0, Wharton 
242.0, Wheeler 
243.0, Wichita 
244.0, Wilbarger 
245.0, Willacy 
246.0, Williamson 
247.0, Wilson 
248.0, Winkler 
249.0, Wise 
250.0, Wood 
251.0, Yoakum 
252.0, Young 
253.0, Zapata 
254.0, Zavala 
,Back to CHS Useful Information
,End of Worksheet
