,county,pop_in_poverty,%_pop_in_poverty,median_income,lower_bound_income,upper_bound_income
0,Anderson,8388,18.8,42412,39272,45552
1,Andrews,2293,13.0,63451,56594,70308
2,Angelina,16969,20.0,45318,41519,49117
3,Aransas,4544,18.1,46970,42451,51489
4,Archer,882,10.1,58311,52487,64135
5,Armstrong,193,10.6,55337,49549,61125
6,Atascosa,8217,16.9,48636,43890,53382
7,Austin,3153,10.7,61111,56119,66103
8,Bailey,1191,17.2,42045,37674,46416
9,Bandera,2627,11.9,55578,50990,60166
10,Bastrop,9462,11.5,62992,57832,68152
11,Baylor,620,17.7,37013,33158,40868
12,Bee,6597,26.6,41392,37476,45308
13,Bell,46542,13.8,52164,49151,55177
14,Bexar,299023,15.6,54163,52899,55427
15,Blanco,1224,10.6,62115,56483,67747
16,Borden,74,11.0,59039,52553,65525
17,Bosque,2866,16.0,49139,44582,53696
18,Bowie,13959,15.9,49153,46133,52173
19,Brazoria,31735,9.0,80840,77162,84518
20,Brazos,49752,23.9,46083,43115,49051
21,Brewster,1298,14.0,44617,40203,49031
22,Briscoe,233,15.3,42678,38094,47262
23,Brooks,2509,35.0,28106,24979,31233
24,Brown,6099,16.8,41538,38485,44591
25,Burleson,2946,16.6,47409,42991,51827
26,Burnet,4722,10.4,59009,53911,64107
27,Caldwell,5892,14.5,51895,47108,56682
28,Calhoun,3497,16.3,55240,50765,59715
29,Callahan,1936,14.0,45843,41003,50683
30,Cameron,116191,27.7,36624,34375,38873
31,Camp,2588,20.3,41932,37440,46424
32,Carson,510,8.5,60668,54509,66827
33,Cass,5614,19.0,40104,35897,44311
34,Castro,1337,17.2,41746,37667,45825
35,Chambers,3914,9.5,81018,72186,89850
36,Cherokee,8467,17.2,47147,44337,49957
37,Childress,1133,20.3,40925,36422,45428
38,Clay,1218,11.8,53438,47809,59067
39,Cochran,695,24.8,40796,36218,45374
40,Coke,432,13.3,42314,37878,46750
41,Coleman,2103,25.2,35596,31709,39483
42,Collin,56725,5.9,95394,92888,97900
43,Collingsworth,528,18.0,39809,35540,44078
44,Colorado,3101,14.9,49100,43987,54213
45,Comal,12473,8.9,72562,67639,77485
46,Comanche,2003,15.0,46161,42707,49615
47,Concho,412,15.4,42723,38578,46868
48,Cooke,5104,13.0,57382,54017,60747
49,Coryell,8556,13.6,51486,48791,54181
50,Cottle,293,21.2,36201,32320,40082
51,Crane,541,11.7,56356,50250,62462
52,Crockett,591,16.8,44991,40023,49959
53,Crosby,1300,22.3,36942,33288,40596
54,Culberson,489,22.1,37825,33645,42005
55,Dallam,826,11.5,47838,42690,52986
56,Dallas,382477,14.8,56732,55659,57805
57,Dawson,2475,21.7,42127,37528,46726
58,Deaf,3286,17.7,42698,38383,47013
59,Delta,915,17.5,41644,37519,45769
60,Denton,58411,7.1,86462,84044,88880
61,DeWitt,3445,18.8,47657,42563,52751
62,Dickens,400,21.2,38702,34569,42835
63,Dimmit,3217,31.2,35696,31617,39775
64,Donley,621,19.9,41867,38450,45284
65,Duval,3037,28.6,33495,29805,37185
66,Eastland,2961,16.8,39620,35343,43897
67,Ector,20860,13.5,54422,50766,58078
68,Edwards,439,22.6,35164,31270,39058
69,Ellis,14521,8.5,71512,67871,75153
70,El,172972,21.0,44120,42373,45867
71,Erath,6016,15.8,48230,43770,52690
72,Falls,4280,27.6,35988,32139,39837
73,Fannin,4047,12.9,50598,46553,54643
74,Fayette,2675,10.8,56320,51127,61513
75,Fisher,569,14.7,47292,42960,51624
76,Floyd,1172,20.2,41390,37777,45003
77,Foard,214,18.0,35007,31266,38748
78,Fort,60772,8.0,91661,87526,95796
79,Franklin,1583,14.8,44358,39547,49169
80,Freestone,2896,16.1,47616,43329,51903
81,Frio,4524,27.9,37853,34217,41489
82,Gaines,3087,15.0,52138,47011,57265
83,Galveston,39606,12.0,69674,67041,72307
84,Garza,1114,25.3,46587,41537,51637
85,Gillespie,2851,10.9,58412,52374,64450
86,Glasscock,127,9.4,78088,69218,86958
87,Goliad,1136,15.2,52403,46609,58197
